SNAP (SNAP INC),20.42,+0.67,
Feb 18 2018 @ 16:15 ET,Bid,20.41,Ask,20.42,Size,0x0,Vol,33917697,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 10.00 (SNAP1816B10-A),4.13,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-A),0.16,0.0,0.0,0.01,0,3269,
18 Feb 10.00 (SNAP1816B10-B),4.68,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-B),0.11,0.0,0.0,0.05,0,3269,
18 Feb 10.00 (SNAP1816B10-E),8.54,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-E),0.01,0.0,0.0,0.06,0,3269,
18 Feb 10.00 (SNAP1816B10-I),3.60,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-I),0.14,0.0,0.0,0.02,0,3269,
18 Feb 10.00 (SNAP1816B10-J),0.0,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-J),0.16,0.0,0.0,0.09,0,3269,
18 Feb 10.00 (SNAP1816B10-K),0.0,0.0,10.35,12.95,0,125,18 Feb 10.00 (SNAP1816N10-K),0.0,0.0,0.0,5.00,0,3269,
18 Feb 10.00 (SNAP1816B10-O),0.0,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-O),0.01,0.0,0.0,0.02,0,3269,
18 Feb 10.00 (SNAP1816B10-OG),4.60,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-OG),0.02,0.0,0.0,0.02,0,3269,
18 Feb 10.00 (SNAP1816B10-P),8.95,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-P),0.01,0.0,0.0,0.01,0,3269,
18 Feb 10.00 (SNAP1816B10-S),4.00,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-S),0.01,0.0,0.0,0.09,0,3269,
18 Feb 10.00 (SNAP1816B10-X),3.85,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-X),0.15,0.0,0.0,0.05,0,3269,
18 Feb 10.00 (SNAP1816B10-Y),3.70,0.0,10.35,13.00,0,125,18 Feb 10.00 (SNAP1816N10-Y),0.14,0.0,0.0,5.00,0,3269,
18 Feb 10.50 (SNAP1816B10.5),8.50,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5),0.01,0.0,0.0,0.03,0,113,
18 Feb 10.50 (SNAP1816B10.5-3),3.43,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-3),0.08,0.0,0.0,0.03,0,113,
18 Feb 10.50 (SNAP1816B10.5-4),3.48,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-4),0.08,0.0,0.0,0.03,0,113,
18 Feb 10.50 (SNAP1816B10.5-8),0.0,0.0,9.60,10.50,0,32,18 Feb 10.50 (SNAP1816N10.5-8),0.20,0.0,0.0,0.30,0,113,
18 Feb 10.50 (SNAP1816B10.5-A),0.0,0.0,9.05,10.40,0,32,18 Feb 10.50 (SNAP1816N10.5-A),0.0,0.0,0.0,0.10,0,113,
18 Feb 10.50 (SNAP1816B10.5-B),3.48,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-B),0.02,0.0,0.0,0.05,0,113,
18 Feb 10.50 (SNAP1816B10.5-E),0.0,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-E),0.02,0.0,0.0,0.03,0,113,
18 Feb 10.50 (SNAP1816B10.5-I),8.50,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-I),0.02,0.0,0.0,0.03,0,113,
18 Feb 10.50 (SNAP1816B10.5-J),6.75,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-J),0.0,0.0,0.0,0.03,0,113,
18 Feb 10.50 (SNAP1816B10.5-K),0.0,0.0,7.55,12.50,0,32,18 Feb 10.50 (SNAP1816N10.5-K),0.0,0.0,0.0,5.00,0,113,
18 Feb 10.50 (SNAP1816B10.5-O),8.40,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-O),0.01,0.0,0.0,0.03,0,113,
