GM (GENERAL MOTORS COMPANY),41.09,-0.76,
Feb 18 2018 @ 16:17 ET,Bid,41.08,Ask,41.09,Size,0x0,Vol,14871775,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 21.00 (GM1816B21-B),0.0,0.0,20.05,20.30,0,42,18 Feb 21.00 (GM1816N21-B),0.0,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-E),0.0,0.0,20.05,20.30,0,42,18 Feb 21.00 (GM1816N21-E),0.11,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-I),21.20,0.0,20.00,20.30,0,42,18 Feb 21.00 (GM1816N21-I),0.12,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-J),0.0,0.0,20.05,20.30,0,42,18 Feb 21.00 (GM1816N21-J),0.0,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-K),0.0,0.0,17.70,22.50,0,42,18 Feb 21.00 (GM1816N21-K),0.0,0.0,0.0,5.00,0,31,
18 Feb 21.00 (GM1816B21-O),20.35,0.0,20.05,20.30,0,42,18 Feb 21.00 (GM1816N21-O),0.18,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-OG),0.0,0.0,20.05,20.30,0,42,18 Feb 21.00 (GM1816N21-OG),0.0,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-P),0.0,0.0,0.0,0.0,0,42,18 Feb 21.00 (GM1816N21-P),0.0,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-S),0.0,0.0,19.95,20.30,0,42,18 Feb 21.00 (GM1816N21-S),0.0,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-X),23.25,0.0,20.05,20.30,0,42,18 Feb 21.00 (GM1816N21-X),0.17,0.0,0.0,0.04,0,31,
18 Feb 21.00 (GM1816B21-Y),0.0,0.0,17.50,22.50,0,42,18 Feb 21.00 (GM1816N21-Y),0.0,0.0,0.0,0.03,0,31,
18 Feb 22.00 (GM1816B22),19.30,0.0,19.05,19.20,0,26,18 Feb 22.00 (GM1816N22),0.19,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-3),19.30,0.0,19.05,19.20,0,26,18 Feb 22.00 (GM1816N22-3),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-4),19.90,0.0,19.05,19.20,0,26,18 Feb 22.00 (GM1816N22-4),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-8),0.0,0.0,17.00,21.50,0,26,18 Feb 22.00 (GM1816N22-8),0.19,0.0,0.0,0.28,0,40,
18 Feb 22.00 (GM1816B22-A),0.0,0.0,18.75,19.45,0,26,18 Feb 22.00 (GM1816N22-A),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-B),0.0,0.0,19.05,19.20,0,26,18 Feb 22.00 (GM1816N22-B),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-E),0.0,0.0,18.85,19.20,0,26,18 Feb 22.00 (GM1816N22-E),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-I),0.0,0.0,19.00,19.20,0,26,18 Feb 22.00 (GM1816N22-I),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-J),0.0,0.0,19.05,19.25,0,26,18 Feb 22.00 (GM1816N22-J),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-K),0.0,0.0,16.65,21.50,0,26,18 Feb 22.00 (GM1816N22-K),0.0,0.0,0.0,5.00,0,40,
18 Feb 22.00 (GM1816B22-O),0.0,0.0,18.95,19.20,0,26,18 Feb 22.00 (GM1816N22-O),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-OG),0.0,0.0,19.05,19.20,0,26,18 Feb 22.00 (GM1816N22-OG),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-P),0.0,0.0,19.00,19.20,0,26,18 Feb 22.00 (GM1816N22-P),0.0,0.0,0.0,0.03,0,40,
18 Feb 22.00 (GM1816B22-S),0.0,0.0,18.95,19.20,0,26,18 Feb 22.00 (GM1816N22-S),0.0,0.0,0.0,0.03,0,40,
